distance (cm),0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,16,16.2,16.4,16.6,16.8,17,17.2,17.4,17.6,17.8,18,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20
potential (V),0,10.04653193,19.80669099,29.28450082,38.48371231,47.40782837,56.06012563,64.44367337,72.56135024,80.41585907,88.00973993,95.34538182,102.4250331,109.2508109,115.8247092,122.1486071,128.2242747,134.0533801,139.6374945,144.9780975,150.0765816,154.9342567,159.5523534,163.9320268,168.07436,171.9803663,175.6509925,179.0871208,182.2895715,185.2591045,187.9964217,190.502168,192.7769334,194.8212538,196.6356126,198.2204418,199.5761225,200.7029862,201.6013153,202.2713437,202.7132574,202.9271948,202.9132471,202.6714584,202.2018258,201.5042994,200.5787824,199.4251307,198.0431525,196.4326083,194.5932101,192.5246209,190.2264539,187.6982719,184.9395861,181.9498554,178.7284847,175.2748239,171.5881665,167.6677479,163.5127432,159.122266,154.4953655,149.6310244,144.5281565,139.1856033,133.6021315,127.7764291,121.7071017,115.3926686,108.8315578,102.0221016,94.96253068,87.65096816,80.0854229,72.26378214,64.18380322,55.84310452,47.23915522,38.36926399,29.23056618,19.82000952,10.13433787,0.170072894,-10.07650688,-20.60938998,-31.43285951,-42.55152492,-53.97035905,-65.69474139,-77.73050917,-90.0840181,-102.7622152,-115.7727268,-129.123967,-142.825271,-156.8870636,-171.3210744,-186.140617,-201.3609621,-216.9999936
